nama_tempat_wisata;kategori;rating;kabupaten_kota;jumlah_rating; htm domestik ; htm internasional ;jarak (km)
Tanah Lot;Budaya;4,6;Kota Denpasar;101523;Rp30.000;Rp75.000;26
Taman Budaya Garuda Wisnu Kencana;Rekreasi;4,5;Kabupaten Badung;70182;Rp85.000;Rp125.000;11
Mandala Suci Wenara Wana;Alam;4,5;Kabupaten Gianyar;57613;Rp90.000;Rp130.000;36
Tegallalang Rice Terrace;Alam;4,4;Kabupaten Gianyar;52316;Rp25.000;Rp25.000;49
Pura Luhur Uluwatu;Budaya;4,6;Kabupaten Badung;50742;Rp40.000;Rp40.000;21
Pura Ulun Danu Beratan Bedugul;Alam;4,6;Kabupaten Badung;49969;Rp50.000;Rp75.000;66
Pantai Pandawa;Alam;4,6;Kabupaten Badung;44808;Rp15.000;Rp15.000;22
Pantai Kuta;Alam;4,5;Kabupaten Badung;42383;Rp0;Rp0;4
Tegenungan Waterfall;Alam;4,4;Kabupaten Gianyar;36933;Rp30.000;Rp30.000;33
Desa Wisata Penglipuran;Budaya;4,8;Kabupaten Badung;29898;Rp25.000;Rp50.000;56
Pura Tirta Empul;Budaya;4,6;Kabupaten Gianyar;28967;Rp50.000;Rp75.000;54
Bali Zoo;Rekreasi;4,5;Kabupaten Gianyar;26503;Rp140.000;Rp140.000;26
Pantai Melasti Ungasan;Alam;4,8;Kabupaten Badung;24255;Rp10.000;Rp10.000;18
The Amazing Taman Safari Bali;Rekreasi;4,5;Kabupaten Gianyar;23657;Rp250.000;Rp1.000.000;34
Tirta Gangga;Budaya;4,6;Kabupaten Karangasem;22229;Rp45.000;Rp90.000;82
Alas Harum Bali;Alam;4,5;Kabupaten Gianyar;21831;Rp70.000;Rp70.000;84
Pantai Kuta Bali;Alam;4,5;Kabupaten Badung;20680;Rp0;Rp0;4
Ubud Palace;Budaya;4,3;Kabupaten Gianyar;18323;Rp0;Rp0;37
Bali Botanical Garden;Alam;4,6;Kabupaten Tabanan;18091;Rp25.000;Rp25.000;66
Pura Agung Besakih;Budaya;4,5;Kabupaten Karangasem;17973;Rp80.000;Rp150.000;66
Waterbom Bali;Rekreasi;4,7;Kabupaten Badung;17726;Rp549.000;Rp549.000;3
Campuhan Ridge Walk;Alam;4,3;Kabupaten Gianyar;17172;Rp0;Rp0;39
Monumen Bajra Sandhi;Budaya;4,6;Kota Denpasar;15647;Rp30.000;Rp100.000;16
Bali Swing;Rekreasi;4,6;Kabupaten Badung;14773;Rp300.000;Rp300.000;36
Jatiluwih;Alam;4,8;Kabupaten Tabanan;14355;Rp25.000;Rp75.000;64
Bali Bird Park;Rekreasi;4,6;Kabupaten Gianyar;13763;Rp140.000;Rp140.000;26
Pura Penataran Agung Lempuyang;Budaya;4;Kabupaten Karangasem;12233;Rp40.000;Rp70.000;89
Pasar Seni Sukawati (Sukawati Art Market);Budaya;4,4;Kabupaten Gianyar;11604;Rp0;Rp0;29
Taman Kota Sewaka Dharma;Rekreasi;4,5;Kota Denpasar;10987;Rp0;Rp0;18
Taman Ujung;Rekreasi;4,6;Kabupaten Karangasem;9988;Rp35.000;Rp100.000;77
Taman Werdhi Budaya Art Centre;Rekreasi;4,6;Kota Denpasar;9823;Rp5.000;Rp5.000;17
Goa Gajah;Alam;4,2;Kabupaten Gianyar;9810;Rp30.000;Rp50.000;40
Waterblow;Alam;4,4;Kabupaten Badung;9784;Rp15.000;Rp25.000;14
Pura Taman Ayun ᬧᬸᬭ ᬢᬫᬦ᭄ ᬅᬬᬸᬦ᭄᭟;Rekreasi;4,6;Kabupaten Badung;9687;Rp15.000;Rp15.000;31
Tari Kecak & Api Uluwatu;Budaya;4,6;Kabupaten Badung;9094;Rp150.000;Rp150.000;22
DIAMOND BEACH NUSA PENIDA;Alam;4,7;Kabupaten Klungkung;8852;Rp45.000;Rp45.000;76
